session_id,turn_number,idioma,texto_clean,nivel_frustracion,intencion,resolved
SESS-447996,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-447996,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-447996,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-842295,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-842295,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-842295,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-529439,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-529439,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-529439,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-942611,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-942611,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-942611,3,es,esto es un robo,2,problema_pago,0
SESS-320811,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-320811,2,es,el codigo no llega,1,error_login,0
SESS-320811,3,es,es increible que no pueda acceder,2,error_login,0
SESS-746980,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-746980,2,es,el codigo no llega,1,error_login,0
SESS-746980,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-662774,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-662774,2,es,el codigo no llega,1,error_login,0
SESS-662774,3,es,es increible que no pueda acceder,2,error_login,0
SESS-657080,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-657080,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-657080,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-607128,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-607128,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-607128,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-843116,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-843116,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-843116,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-778408,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-778408,2,es,el codigo no llega,1,error_login,0
SESS-778408,3,es,es increible que no pueda acceder,2,error_login,0
SESS-866376,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-866376,2,es,el codigo no llega,1,error_login,0
SESS-866376,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-626964,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-626964,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-626964,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-786757,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-786757,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-786757,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-201761,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-201761,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-201761,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-229072,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-229072,2,es,el codigo no llega,1,error_login,0
SESS-229072,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-815104,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-815104,2,es,el codigo no llega,1,error_login,0
SESS-815104,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-280682,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-280682,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-280682,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-211363,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-211363,2,es,el codigo no llega,1,error_login,0
